,title + body
306,"Why the heck are you smoking while walking? No parents? Observe your manners. Disgusting. The smell of cigarettes makes you annoyed by the smell of cigarettes. Noise between floors. Smoking between floors. Why are you smoking while walking? I get annoyed because of this, my quality of life is lowered. Noise between floors. Smoking between floors. Smoking while walking."
307,"Give back to shareholders, Beom-soo, it's a donation school, and first save the shareholders who invested money."
308,"The pro-Japanese bastards are addicted to pornography and addicted to nippon-style dog-fucking slaves. They are the ones who established the military-style workplace culture. The Japanese-style patriarchal man Aghalo, the most hated by women, is patriotism on Heo’s Day."
309,"good stock is a stock on a rising market or a stock on a down market When I looked at the price of the stocks that went up from the price I sold Innotek Eco Pro BM Hana Materials L&F There may be other stocks, but the stocks I was interested in were these. I think that a stock that can rise is a good stock. Then, is cacao a good stock? Kostolani said that to make money with stock, you must have eggplant But luck can't make it happen But luck comes to those who are prepared Are you ready?"
310,"I'll regret it for the rest of my life I'll regret it for the rest of my life I'm cut in half from the current stock price I have to crawl the bottom of the box for 5 years Gaekao If the company doesn't go public, I'm happy that the stocks that have been harmed by the shareholders are not over-the-top, but the long-term trend is unknown"
311,Never has to fail Kakao has grown to an equal position. Differences between Never and Kao. Never has invested in a new company to raise its stock price by dozens of times. You know if it's good to survive
312,"What kind of company is Kakao? It has been a long time since the provision of personal information of subscribers in subjugation to the government, and the fact that only those who know or have suffered from it has no security at all. It has no value."
313,The kids who buy Kakao are special.
314,"ㅋㅋ It's the weekend, so take a break ㅋㅋ Go out and catch the wind ㅋㅋㅋㅋㅋ"
315,"I haven't been able to ride it yet, please come back to the floor"
316,"Ukrainian collaborators and Korean collaborators Tchai Foreign media is reporting that they are struggling with dealing with the collaborators who provided information and guided the Russian military in Ukraine. Whether or not it must be destroyed in wartime by the Russian army it possesses or whether it is a wise move to comply with a certain amount to protect property and life is a matter for later. And he manipulated him as a spy, so he was loyal to the Yankee doggies. It is a place where invaders rob more than a billion a day as a security guard, poop and poop, and he is the only one in the world in the form of a Yankee puppet who does not have an operational control. The Korean military is a Yankee dog who lost to the Rifle or the Taliban. Will we be able to achieve a just nation that takes care of the national dignity and national interest through wise diplomacy? He runs a center and is frantic to incite chaos through the press, etc., so he created the Yankee Hounds regime again and raised his spirits."
317,"The greedy Gyeonggi-do population of tens of thousands of people should take the lead and build a metropolitan city by either dividing Gyeonggi-do into South and North Roads or integrating Hanam-si, Gwangju-si, Seongnam-si."
318,Relocation of Gimpo Airport is also necessary to relieve congestion on the Incheon Airport Skyway Construction of Seoul Incheon Airport High-Speed High-Speed Railroad Bridge Construction of Seoul-Incheon Airport High-Speed High-Speed Rail Construction of Gimpo Airport Site The cost of the Manchae construction relocation is partially covered by the Gimpo Airport site redevelopment profits.
319,"Kakao is soaring ahead of Kakao Huge Jewish capital does not want the US to fall any more, and it is confirmed that Kakao will be blown away from now on."
320, Kakao Anatomy It is too expensive compared to other stocks Kakao Bank Pay Game Shares
321,"Former U.S. Ambassador to the United Nations, Advisor Heirigi As mentioned earlier, the ID dog I used was permanently suspended about a month ago."
322,There is a saying that a stock that comes out in a cascade down to the won goes back to the hometown.
323,Hyung will tell you. Don't tell me later what it means.
324,I hope that Kakao Enter will be listed soon.
325,Tell me why Kakao isn't going Because hyung put a billion dollars on it ㅋㅋㅋㅋㅋ Are you annoyed then?
326,"It is said that the US stocks and cacao are blown away from now on due to the boom, since the huge Jewish capital does not want the US to fall any more and has confirmed the bottom."
327,The demands of the employees are endless. They are not satisfied. I think the company will tell you to give out toilet paper to wipe your shit.
328,"Kakao Let's do a big cleanup like YouTube, etc. Documentary Insight, etc. Documentary series Animal theater best friend video album There are too many good videos to send to the world, it would be nice to put all Korean video content on Kakao and put it on YouTube, etc. Kakao 10,000 subscribers It's too shabby Aim for 10 million YouTube subscribers on Kakao"
329,"Hyung tells me here Kakao Talk Kakao navigator Taxi bank stocks and other services There will be no black people who swear while using services Yes, there is no one to swear at, unless you are a nerd or a scoundrel. Hahahahahahahahahahahahahaha I hope your account recovers Try hard, I don’t even try and I haven’t seen a guy who blames others and makes money. Foreigners praise Korea as a good country to live in, but why do you think Hell Joseon is a good country to live in? If your life is like a pine tree, you blame the country. Don't think about it, study how to get rich and how to live well and try hard They take development for granted and only think about things that are bad. Change your mind. Your account will also change."
330,"Short selling of lending credit is decreasing Good flow After Nasdaq rebounds, no correction comes out and it seems to be holding the bottom"
