	제목+본문
131	짜한번 보여주라진입좀하자
132	성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요성탄절이 토요일 일요일일 경우 월요일을 대체공휴일로 지정해주세요
133	매집완료오늘 층까지도전
134	숏커버링 하느라 정신없겠군종나 빠졌으니 개급등 나오것다
135	카카오는 끝났다ㅍ
136	형이 알려준다프로 본다
137	니네는 어차피 올라도 털리게 돼있다그동안 종나 지루혔지불장 시작됐다
138	카카오 암흑기 끝났냐 이게 무슨일이래이제 다시 고점를 향해 가는거니
139	천 가자잡주 다 매도 해서 카카오 오린
140	빅뉴스 없으면 공매도 때문에 못오른다그냥 묻어둬 년후에 수십배 되어있을꺼야윤석렬이 공매도 손보겠니금피아 뒷주머니인데검은머리 외국인들의 연금  공매도쯧쯧쯧
141	살려주세요 층입니다탈출기회좀 주세요
142	이러다 또 빠지겟지 ㅋㅋㅋ뻔한 깨깨오
143	역전의서막가즈아
144	네번째 물어봅니다평단 만원 주 피가 마릅니다제발
145	떨어지면 추매했더니 어느덧 수익떨구면 계속 추매했더니 이제 수익이네 ㅋㅋㅋ오늘 힘 좋다이번달 층까지 가보자
146	고점이다쓰레기 카카오 ㅍ
147	차량용반도체 유니퀘스트 작년대비 프로 영업이익 증가차량용반도체 유니퀘스트 작년대비 프로 영업이익 증가
148	빨리 빨리 매수하자앞으로는 계속 올라간다 빨리 빨리 추가매수하자 빨리 빨리 물타기 하자
149	카톡와카톡
150	카카오 고고오늘은 쭉쭉 상한가 가자 느낌이 좋은 날추가 매수해서 물타기 하자 화이팅
151	불기둥 만들자오늘 주봉으로 일선 위에 빨간 불기둥 못 만들면 최근 며칠동안 상승하려고 한 노력이 물거품이 된다 외인 기관들이여 들어와줘
152	네이버고점에서 팔고카카오일전에 넘어왔다 신의한수냐
153	항상 같은 패턴이다급락하기위해 오늘 올리는거다 오늘 고점잡고 나가라
154	살려주세요 층본전만 하고싶어요
155	네이버고점에서 팔고잘했다 우쭈쭈쭈
156	빨리 빨리 올라가자쭉쭉쭉 올라가자
157	오프로오카카오 오늘 힘 넘치네
158	오예ㅎㅎㅎㅎ
159	 일선 확실히 뚫었네최소 원까지 간다 붙잡고 있어라
160	카카오는 끝났다알았다
161	하하하하삼전 보낼것 처럼 해놓고 진짜는 카카오였어ㅋㅋ
162	외국인 기관 쌍끌이 매수다빨리 빨리 상한가로 오라 해야지
163	ㅠ 이제 본전 왔네가자카카오야
164	신용풀매수잘 먹고 갑니다 신용만 올 익절 모간이 들어오면 왠지 불안 좀만 더 오르면 원금 다 복구되는디 쫄려서 총알좀 챙겨놔야겠음
165	만원까지 홀딩좀 더 가져간다 한주도 매도 없다
166	층인데 언제올까요 ㅋㅋ제곧내
167	상봉정말
168	가보자 가보자 가 보 자
169	감흥의 감도 없다미친 카카오
170	지금이 최고가다 팔자어차피 오후엔 내려가유 한두번 속나팔 사람은 어서 팔어난 안팔지만
171	자사주 구입했낭왠일이랭
172	이넘들 오늘 까까오 떵싸네ㅋ
173	빨리 빨리 물타기 하자전 재산 몰빵이다 몰빵 상한가 오라이
174	 매수다음주 매도고로 난 다음주 매수
175	단탄데 팔까 말까요백만원 수익중고민이다요
176	상 한번가자ㅋㅋㅋㅋ
177	오늘 오르는 이유는 개국인때문카카오는 일 오전 시 분 기준 전일대비 원 오른 만 원에 거래되고 있다 카카오는 한때 주 신저가 기록을 쓰며 만 원대를 하향했다카카오 주가를 끌어올리는 건 외국인이다 외국인은 지난 일부터 이날까지 나흘새 만 주를 순매수하고 있다 카카오는 지난해 월일 만원까지 거래됐지만 지난달 일 만원까지 떨어지며 주가가 반토막났다 전날 미국 증시에 기술주가 대폭 반등한 점도 카카오 주가 상승세에 도움이 됐다 미국 연방준비제도의 긴축 속도조절 가능성에 매도세가 몰렸던 미국 기술주에 자금이 몰렸다
178	오늘느낌 좋은데기대기대
179	햄볶한 연휴를 만들어주나요날도 좋고연휴도 길고햄볶합니다가즈아 카오
180	평단만 위에분들 많으신가요
181	평단에서 에 팔고다시 에 재진입사람새키아니다나는
182	무증하려나먼가 재료나올듯
183	이렇게 일만올랏음 좋겠다
184	점점 떨어지나봐티라ㅋㅋㅋㅋ ㅋㅋㅋㅋ
185	봐라 점점 밀린다질끔질끔후퇴중지금이라도 건지라에이 아까 팔걸 후회들말고
186	카카오보단 물적분할안한 네이버가ㅋㅋ대세카카오는 페이 뱅크 게임즈 다 나눠져서그닥
187	어허 티라니깐 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋ
188	힘없네정권바뀌니
189	그럼 그렇지이제부터 내리는거지
190	다시 한 번 힘을 내서 올라가자영차영차 올라가자
191	아놔 지금 시점에서흐르는건 욕 받이 하고픈게지정신 똑땍이 챙기고 올라온나
192	하수들아좀 장기투자로 봐라 쯧 개미들은 이래서 안돼
193	퍼 퍼 올라라 년 동안 쳐 맞았다이젠 공매도가 쳐 맞을 차례다
194	평단 올려면 올해안에 올려나요선배님들 어떻게 생각하시는지요평단
195	외인 기관 매수중팔고 텨요 ㅋㅋㅋㅋ ㅋㅋㅋㅋ월요일에 떨어지면사게 ㅋㅋㅋㅋ
196	주식은 간단한거야만원 이상 갖고갈사람은 사고만원 밑으로 빠질것 같은 사람은 팔어
197	카카오 호재 발표 전기대 만빵 까지는 무난히 상승
198	일단 도망들 가라 상책이다  현재 분위기지금 분위기론 시가이 갈수록 계속 윗꼬리 달고 밀린다도망들 가라현재 시간
199	개미들안오르면 손절 조금올랏다고 던지기 ㅋㅋㅋㅋㅋ
200	공매도모간이 오늘 열일하네 ㅅㄱ
201	장투에겐 맞는 말이지만단기투자는 오늘처럼 많이 오르면 팔고이삼일 하락하면 또 사는 것이 좋지요누가 이길지는 아무도 모르지만 대부분 년장투하는 사람이 이기긴하겠죠
202	오잉 이게 다야난 상봉칠줄
203	종가에 사면월요일 더 먹는다
204	아오 시초에 에 다 던졌는데푼돈 벌었다고 좋다고 던졌는데 더올라가네 ㅠㅠ배아픕니다
205	개폭등했네우와 ㄷㄷ
206	대 상승 대 상승  대 상승진입예정상승폭 모두 반납 중 상승까지 밀릴듯오늘 종가까지 대 상승 모두 반납 예상  현시간윗꼬리 이빠이 다는 중캔들상 최악의 캔들 만드는 중위험 리스크 관리
207	 쓰레기 ㅅㄲ사주는 척 하다가 가격이 높아지니 멈췄네안 사주니 떨어지고 떨어지면 이 쓰레기가 다시 매수 시작할껴가하면 이 쓰레기한테 물량 내주지 말길
208	일단 매도 후 관망  현시간지금이라도 일단 매도 후 관망보합까지 밀릴듯 현시간일단 매도 후 재 진입 혹은 기회 포착 가질것오늘 상승 폭 모두 반납 할 듯
209	개카오회사 운영진 들은 뭐하고 있냐
210	가즈아어제 못산 애들 ㅂㄷㅂㄷ 하는거 느껴지노
211	이걸 바닥찍고 반등으로 보면 하수추락하는것은 날개가 있다하지만 다시 추락일단 앞자리 자가 중단기바닥으로본다
212	원억 풀매수 했습니다만원 찍으면 기부도 쫌 하겠습니다
213	떨어질땐 로도 우습게 떨어지더만오를때는 도 못오르고 ㅜㅜ이제 정말 벗어나고 싶네요년동안 너무 힘들었어요 제발누굴 원망하고 싶지만 다 내탓이고올라도 오른거 같지도 않게 오르지 말고원도 떨어진적 있잖아요오를때 프로씩즘 올려주세요
214	지수보다 강하네
215	이제부터 출발 한다니 까 긍정적으로생각하죠삼성 전자 보다 좋아요삼전은 대로 감자안하면 평생 만이요주식숫자가 대한민민국 인구 배나 되니까 망한다 만주 싸면 원 오르는 삼전이다
216	외국인 기관쌍끌이 매수가 올라가자어차피 올라갈 거 빨리 빨리 올라가자 종가에는 장대 양봉 만들어보자 상한가로 출발하자 오라이
217	풀매수ㅡㅡ흐 흐 풀매수 생각만해도 멋쩌서 풀매수 들어간당 잔고털어 주ㅡㅡ 손자 장가갈 때매도 ㅡ이십오년 후 ㅡㅡㅡ
218	흠증시 대폭락이 문전에 있다인플레 금리인상 검은 구름이 몰려온다저가라고 들어갔다간어둠에 빠져 허우적 거린다조심들 하세여
219	노는개미유튜브 노는개미 시청하셔요 무료종목 추천 및 매도가까지 알려주십니다
220	평단가원 만원매도 ㅠㅠ
221	카카배당을 많이 줘라그래야주식을 많이 사지
222	게카오 원에 아가리 쩌어어어어너어엌 ㅋㅋ아가리 쪼오옥 ㅎ 아리가또
223	오늘 같은 날은 오프로 올라가자오늘 같은 장애는 인간적으로 오 프로는 올라가자 빨리 빨리 올라가자
224	질질 흘러 내리네 반토막 카카오 조정만 년이다 고마 가자년동안 주주들 죽였으니이젠 공매도가 죽어야 지 그게 정의지
225	올라가면 부정론자들 댓글잘안보임뇌동매매자들 한심하기 짝이없어보임
226	카카오 독점 택시때문에 주가가쉽게 오를 것 같지 않은데
227	카카오는미국 나스닥 상장 안하려나 ㅋㅋㅋ
228	에이라천에 팔았어야하네개갓은카카오똥밟았네
229	만원 에서 엄첨 빠지네진짜 어이없다
230	배에 물들어 온다 다들 탈출하라배에 물들어온다구명조끼라도 입고 탈출해야지침몰하는 배에 있다 자네들만 손해다 현시간
231	평단 원딱 만 가줘옵빵
232	사부작사부작 내리지않고 기어 오르네ㅡㅡㅡㅋㅋ
233	오를수록외인들 수익은 늘어난다대차잔고 봐라위에서 물린놈만 불쌍하지올리지 마라
234	점점 내려오는게보합갈거 같다 ㅋㅋ
235	와 원에 팔고 튀길 잘 했네평단 원이였는데 더 먹을려고 하다가 다 던지고 나옴숫자 몇 개 안되서 의미 없었지만 다행이네요개 뿐이였어요 다음에 또 뵈요
236	진짜 재수없게 질질 흐르네반토막 카카오 진짜개 싫다 민주당 송영길이 시발점이었지
237	매수금지일선에서 재매수 준비
238	샀다하면그날 바로 물려버리기
239	진짜 질질 흘러서 장마감에 보합되면 공매도 오늘 싸겠다공매도만을 위해 존재하는 시장 개한민국
240	쫄아서던진 흑우 없제
241	아 어제 에 주만 담았는데남은돈 다 몰빵할걸 그랬네 그래도 하루만에밥값 벌고갑니다매도 완료
242	실 만큼 쉬었으면 올라가자이제는 빨리 빨리 올라가자 마지막 버스가 빨리 타라 출발한다
243	한국조선해양이날라가던 시기셀트리온이 날라가던시기잘 보고오면 패턴이 있어주도주가 어떻게 끝이 나는지그냥 한번의 봉우리를 만들고 줄줄줄 가지 않아시장의 마무리는 주도주가 다시 복귀하고 나서사이클이 끝나지쌍봉 만들러가는 길이다 오늘 던진 흑우들다신 못살것이다
244	모간이 산거한번에 다 매도 ㅋㅋ장난 오지다 ㅋㅋ
245	한번에 매도가 아니라 숏커버링 한거다이제 공매도 똥줄 타것네 ㅋㅋㅋ
246	외인이 한국주식 종나게 사야하는 이유 알려준다달러 떨어지기 전에 왕창 사놔야 달러하락시 환차익을 보는데 지금 우량주들 반토막나서 매집하기 너무 좋겠지반대로 서학개미들은 반토막났는데 주가가 올라도 달러 하락하면 원화 환전시 손해를 보겠지지금 한국주식을 사야하는 이유다
247	신용 줄고있고 공매도 상환
248	외인 슬슬 빼고있는데 지금외인 지금 물량 미장열리면 넣으려고 슬슬 빼고있고종가 원 후반대에 정착할듯
249	원아가리 쩍
250	애증의 까까오사면 떨어지고 팔면 오르고 ㅎㅎ
251	만원까지거의 수익이여야하는데ㅋㅋ노답 카카오ㅋㅋ
252	음 아직 덜빠졌네 ㅋ토끼라 ㅌㅌㅌ
253	아침에 분명 고점를 향해 달리던거 아니였어왜 다시 저점를 향해 달리냐
254	카카오에 내 돈이 묶여 있다자금이 묶여 있다애증의 카카오
255	가라그대로
256	카카오가 카카오했다ㅋㅋㅋ종가만 다가오면 주가 떨어지냐이것도 능력이다ㅋㅋㅋ주주만 불쌍하지개잡주에 물려서
